City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
549,okondja,-0.6549,13.6753,21.41,99,100,1.21,GA,1698720458
550,bubaque,11.2833,-15.8333,28.24,73,72,4.64,GW,1698720459
551,nowshahr,36.649,51.496,17.97,88,40,0.0,IR,1698720459
552,novyy urgal,51.0736,132.5642,-1.58,47,100,0.66,RU,1698720459
553,jurm,36.8648,70.8342,14.07,44,38,0.62,AF,1698720460
554,orerokpe,5.6351,5.8896,23.76,94,100,1.65,NG,1698720460
555,antsiranana,-12.2787,49.2917,24.44,82,76,6.77,MG,1698720461
556,hun,29.1268,15.9477,20.31,46,55,3.19,LY,1698720461
557,kuanda,56.3161,116.0806,-9.15,41,69,0.96,RU,1698720462
558,fangshan,39.6983,115.9925,19.56,47,91,1.07,CN,1698720462
559,touros,-5.1989,-35.4608,25.26,72,48,5.08,BR,1698720265
560,samana,19.2056,-69.3369,25.72,88,92,2.46,DO,1698720463
561,santana,-0.0583,-51.1817,28.1,74,0,3.09,BR,1698720463
562,barra do bugres,-15.0725,-57.1811,23.04,93,75,1.14,BR,1698720464
563,savanna-la-mar,18.219,-78.1332,27.97,87,51,1.52,JM,1698720464
564,sola,-13.8833,167.55,26.55,81,35,7.1,VU,1698720464
565,amursk,50.2261,136.8994,2.21,42,82,5.87,RU,1698720465
566,darab,28.7519,54.5444,19.95,51,76,1.16,IR,1698720465
567,beyneu,45.3167,55.2,7.18,83,1,2.54,KZ,1698720466
568,sydney mines,46.2367,-60.2177,3.99,95,100,2.06,CA,1698720466
569,anshun,26.25,105.9333,17.85,64,100,2.46,CN,1698720466
570,martapura,-3.4167,114.85,33.05,55,0,0.0,ID,1698720467
571,qrendi,35.8347,14.4583,23.95,83,0,8.23,MT,1698720467
572,aldinga beach,-35.2793,138.4604,19.59,45,18,5.95,AU,1698720468
573,bikenibeu village,1.3673,173.1241,30.98,70,40,2.57,KI,1698720468
574,meadville,41.6414,-80.1515,5.58,81,100,1.54,US,1698720469
575,bathsheba,13.2167,-59.5167,28.34,83,20,5.14,BB,1698720469
576,nurota,40.5614,65.6886,12.42,68,91,4.78,UZ,1698720470
577,ponta delgada,37.7333,-25.6667,19.4,82,40,5.14,PT,1698720470
578,chui,-33.6971,-53.4616,14.06,92,100,8.04,UY,1698720470
